(468, 1727)
(469, 1728)
(585, 1684)
(609, 177)
(609, 1374)
(609, 1843)
(965, 435)
(965, 206)
(965, 1477)
(966, 1476)
(1295, 1005)
(1295, 1776)
(1295, 1964)
(1296, 1965)
(1436, 281)
(1436, 2374)
(1846, 11)
(1846, 2533)
(1847, 2532)
(1920, 954)
(1920, 119)
(1920, 1305)
(1921, 955)
(1921, 118)
(2296, 2131)
(2297, 2132)
(2517, 1685)
(2518, 1684)
(2872, 2132)
(3076, 279)
(3077, 280)
(3078, 281)
(3078, 2374)
(3466, 207)
(3467, 435)
(3467, 206)
(3467, 1477)
(3468, 436)
(3469, 437)
(3470, 438)
(3789, 1199)
(3790, 1610)
(3790, 1198)
(3791, 1197)
(3881, 2132)
(3948, 1166)
(4345, 749)
(5039, 79)
(5040, 80)
(5041, 81)
(5042, 82)
(5043, 83)
(5043, 1888)
(5044, 1889)
(5173, 1077)
(5173, 1457)
(5173, 2309)
(5174, 1076)
(5174, 2308)
(5479, 1328)
(5479, 2659)
(5479, 1553)
(5950, 1077)
(5950, 1457)
(5950, 2309)
(5951, 1076)
(5951, 2308)
(6083, 2041)
(6084, 2843)
(6084, 2040)
(6084, 3182)
(6085, 3181)
(6739, 595)
(6739, 1281)
(6740, 596)
(6740, 1282)
(7247, 594)
(7247, 1280)
(7248, 595)
(7248, 1281)
(7405, 903)
(7405, 2076)
(7486, 639)
(7486, 2229)
(8030, 866)
(8030, 1046)
(8030, 1439)
(8111, 904)
(8112, 903)
(8112, 2076)
(8113, 2075)
(8477, 122)
(8478, 121)
(8479, 120)
(8480, 954)
(8480, 119)
(8480, 1305)
(9092, 2839)
(9093, 2840)
(9094, 2841)
(9095, 2842)
(9096, 2843)
(9096, 2040)
(9096, 3182)
(9097, 2039)
(9177, 1405)
(9178, 1406)
(9274, 775)
(9274, 2210)
(9275, 776)
(9276, 777)
(9814, 1004)
(9815, 1005)
(9815, 1776)
(9815, 1964)
(9816, 1006)
(9938, 1684)
(9990, 83)
(9990, 1888)
(9991, 84)
(10027, 176)
(10028, 177)
(10028, 1374)
(10028, 1843)
(10279, 774)
(10280, 775)
(10280, 2210)
(10421, 83)
(10421, 1888)
(10493, 1727)
(10494, 1728)
(10570, 245)
(10570, 2508)
(10571, 2509)
(10595, 2509)
(10596, 2510)
(10623, 1166)
(10643, 1328)
(10643, 2659)
(10643, 1553)
(10644, 1329)
(10644, 2660)
(10904, 1078)
(10904, 1458)
(10905, 1077)
(10905, 1457)
(10905, 2309)
(10906, 1456)
(10907, 1455)
(11577, 1231)
(11578, 1230)
(11579, 261)
(11579, 1229)
(11579, 2105)
(11580, 1228)
(11755, 1100)
(11756, 1099)
(11969, 3046)
(11970, 3045)
(12154, 2106)
(12155, 261)
(12155, 1229)
(12155, 2105)
(12156, 262)
(12156, 2104)
(12157, 263)
(12476, 395)
(12965, 1987)
(13064, 749)
(13944, 866)
(13944, 1046)
(13944, 1439)
(14018, 1406)
(14019, 1407)
(14364, 2509)
(14409, 2658)
(14409, 1554)
(14410, 1328)
(14410, 2659)
(14410, 1553)
(14473, 177)
(14473, 1374)
(14473, 1843)
(14716, 866)
(14716, 1046)
(14716, 1439)
(15519, 2078)
(15520, 2077)
(15520, 2389)
(15521, 903)
(15521, 2076)
(15522, 2075)
(15523, 2074)
(15716, 2167)
(15717, 364)
(15717, 2166)
(15871, 37)
(16252, 1986)
(16253, 1987)
(16518, 1125)
(16519, 1126)
(16562, 2042)
(16563, 2041)
(16564, 2843)
(16564, 2040)
(16564, 3182)
(16565, 2844)
(17103, 541)
(17104, 540)
(17701, 207)
(17702, 435)
(17702, 206)
(17702, 1477)
(17703, 436)
(18192, 1230)
(18193, 261)
(18193, 1229)
(18193, 2105)
(18194, 1228)
(18195, 1227)
(18741, 1003)
(18742, 1004)
(18743, 1005)
(18743, 1776)
(18743, 1964)
(18744, 1965)
(18973, 698)
(18974, 699)
(19145, 1610)
(19145, 1198)
(19146, 1611)
(19147, 1612)
(19177, 1827)
(19178, 1826)
(19512, 954)
(19512, 119)
(19512, 1305)
(19513, 1304)
(19632, 775)
(19632, 2210)
(20060, 364)
(20060, 2166)
(20094, 1164)
(20095, 1165)
(20096, 1166)
(20570, 11)
(20570, 2533)
(20571, 2532)
(20572, 2531)
(20573, 2530)
